"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72459312301202521302.ret"
""
"Ignorado cancelamento automático título: 2400003485 5420 - SUZANO PAPEL E CELUL 19/12/2024 BX 808,77 0"
"Ignorado cancelamento automático título: 2400003489 7340 - SUZANO S.A. 19/12/2024 BX 808,77 0"
"Ignorado cancelamento automático título: 2400003509 1859 - CWS CABLE PARKS LTDA 19/12/2024 BX 797,17 0"
"Ignorado cancelamento automático título: 2400003525 1547 - SOCER BRASIL INDUSTR 19/12/2024 BX 788,91 0"
"Ignorado cancelamento automático título: 2400003565 5394 - MIGDAL EMPREENDIMENT 19/12/2024 BX 755,2 0"
"Ignorado cancelamento automático título: 2400003581 1091 - DEPARTAMENTO DE AGUA 19/12/2024 BX 739,09 0"
"Ignorado cancelamento automático título: 2400003585 7835 - ASSOC. DOS PROPRIETA 19/12/2024 BX 736,41 0"
"Ignorado cancelamento automático título: 2400003597 7129 - POUSADA CHALES DO TH 19/12/2024 BX 731,92 0"
"Ignorado cancelamento automático título: 2400003641 2162 - LAVANDERIA ARAUJO LT 19/12/2024 BX 728,97 0"
"Ignorado cancelamento automático título: 2400003645 1246 - CLUBE JUNDIAIENSE 19/12/2024 BX 728,63 0"
"Ignorado cancelamento automático título: 2400003685 938 - MIRACEMA NUODEX INDUS 19/12/2024 BX 712,26 0"
"Ignorado cancelamento automático título: 2400003713 1862 - DOR RIO CONFECCAO LT 19/12/2024 BX 692,97 0"
"Ignorado cancelamento automático título: 2400003737 7803 - FAZENDA PINHEIRINHO 19/12/2024 BX 674,49 0"
"Ignorado cancelamento automático título: 2400003741 5694 - R. BOQUINO TRANSPORT 19/12/2024 BX 672,79 0"
"Ignorado cancelamento automático título: 2400003749 2324 - BASF S/A 19/12/2024 BX 667,51 0"
"Ignorado cancelamento automático título: 2400003761 1140 - VIA VAREJO S/A 19/12/2024 BX 663,43 0"
"Ignorado cancelamento automático título: 2400003777 136 - MARCIA REGINA PEZZENT 19/12/2024 BX 658,73 0"
"Ignorado cancelamento automático título: 2400003793 3439 - CSHG REAL ESTATE FUN 19/12/2024 BX 658,73 0"
"Ignorado cancelamento automático título: 2400003817 7832 - ENPLAN 59 EMPREENDIM 19/12/2024 BX 652,74 0"
"Ignorado cancelamento automático título: 2400003829 335 - ANTONIO BORIN SA IND 19/12/2024 BX 642,51 0"
"Ignorado cancelamento automático título: 2400003857 2688 - ARYZTA DO BRASIL ALI 19/12/2024 BX 637,45 0"
"Ignorado cancelamento automático título: 2400003861 69 - PLASTEK DO BRASIL INDU 19/12/2024 BX 635,68 0"
"Ignorado cancelamento automático título: 2400003873 3696 - AGUAS DE CAMPINAS TR 19/12/2024 BX 625,79 0"
"Ignorado cancelamento automático título: 2400003881 2931 - CONDOMINIO RESIDENCI 19/12/2024 BX 624,3 0"
"Ignorado cancelamento automático título: 2400003901 931 - CENTRO CULTURAL E REC 19/12/2024 BX 618,34 0"
"Ignorado cancelamento automático título: 2400003905 2329 - NOVA MIX INDUSTRIAL 19/12/2024 BX 611,39 0"
"Ignorado cancelamento automático título: 2400003913 293 - OMAMORI INDUSTRIA DE 19/12/2024 BX 603,5 0"
"Ignorado cancelamento automático título: 2400003917 1792 - ASSOC DE AMIGOS DO C 19/12/2024 BX 600,17 0"
"Ignorado cancelamento automático título: 2400003953 2114 - MAXLAV LAVANDERIA ES 19/12/2024 BX 589,19 0"
"Ignorado cancelamento automático título: 2400003969 7729 - AGUA NOGUEIRENSE LTD 19/12/2024 BX 585,53 0"
"Ignorado cancelamento automático título: 2400003993 3879 - CATALISE INDUSTRIA E 19/12/2024 BX 585,53 0"
"Ignorado cancelamento automático título: 2400004017 7840 - PACAEMBU PIRACICABA 19/12/2024 BX 576,11 0"
"Ignorado cancelamento automático título: 2400004025 7306 - TRANSPORTADORA FREZZ 19/12/2024 BX 575,02 0"
"Ignorado cancelamento automático título: 2400004029 1985 - CONJUNTO RESIDENCIAL 19/12/2024 BX 572,36 0"
"Ignorado cancelamento automático título: 2400004057 4899 - SUZANO PAPEL E CELUL 19/12/2024 BX 566,14 0"
"Ignorado cancelamento automático título: 2400004073 1676 - CASSOL PRE  FABRICAD 19/12/2024 BX 563,08 0"
"Ignorado cancelamento automático título: 2400004093 5865 - CONDOMINIO VILLA UNI 19/12/2024 BX 559,55 0"
"Ignorado cancelamento automático título: 2400004133 2327 - MATTOS D AGUA FORNEC 19/12/2024 BX 540,55 0"
"Ignorado cancelamento automático título: 2400004141 7876 - ASSOCIACAO DOS PROPR 19/12/2024 BX 540,16 0"
"Ignorado cancelamento automático título: 2400004145 5938 - CLAUDETE APARECIDA G 19/12/2024 BX 539,43 0"
"Ignorado cancelamento automático título: 2400004161 2538 - APTAR DO BRASIL EMBA 19/12/2024 BX 531,58 0"
"Ignorado cancelamento automático título: 2400004181 2777 - BIOCAPITAL PARTICIPA 19/12/2024 BX 526,98 0"
"Ignorado cancelamento automático título: 2400004213 3085 - CAERULEA EMPREENDIME 19/12/2024 BX 514,76 0"
"Ignorado cancelamento automático título: 2400004217 68 - ASSOCIACAO GREEN VILLA 19/12/2024 BX 514,35 0"
"Ignorado cancelamento automático título: 2400004245 407 - COMERCIO E INDUSTRIA 19/12/2024 BX 508,68 0"
