"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449211810202214205.ret"
""
"Cadastrado título novo: 9000007181 3023 - JOAO LUIZ MELIKARDI 31/10/2022 RG 279,67 0"
"Cadastrado título novo: 9000007183 2092 - EMPRESA DE TRANSPORT 31/10/2022 RG 232,25 0"
"Pago título: 2220002579 4016 - ITA   AREIA COMERCIO 30/09/2022 LQ 228,36 234,18"
"Pago título: 2220002999 3124 - BARREIRENSE PRODUTOS 31/10/2022 LQ 219,58 219,58"
"Pago título: 2220005717 5420 - SUZANO PAPEL E CELUL 31/10/2022 LQ 462,15 462,15"
"Pago título: 2220005724 7340 - SUZANO S.A. 31/10/2022 LQ 462,15 462,15"
"Pago título: 2220006683 4899 - SUZANO PAPEL E CELUL 31/10/2022 LQ 323,51 323,51"
"Pago título: 2220007110 2962 - CONDOMINIO VITORIA D 31/10/2022 LQ 271,02 271,02"
"Pago título: 9000007075 7735 - JAIME ALVES DE FARIA 30/11/2022 LQ 419,35 419,35"
"Pago título: 9000007171 4668 - IDEIA NOVA EMPREENDI 31/10/2022 LQ 753,49 753,49"
"Pago título: 9000007180 290 - MAKRO ATACADISTA S/A 31/10/2022 LQ 964,41 964,41"
