"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7245824411202422437.ret"
""
"Cadastrado título novo: 9000008361 2646 - CONDOMINIO RESIDENCI 29/11/2024 RG 466,78 0"
"Cadastrado título novo: 9000008362 2646 - CONDOMINIO RESIDENCI 31/12/2024 RG 466,78 0"
"Cadastrado título novo: 9000008363 2646 - CONDOMINIO RESIDENCI 31/01/2025 RG 466,78 0"
"Cadastrado título novo: 9000008364 21 - PLASTIPAK PACKAGING DO 29/11/2024 RG 1626,62 0"
"Cadastrado título novo: 9000008365 7749 - CONCREPAV PARTICIPAC 29/11/2024 RG 234,73 0"
"Cadastrado título novo: 9000008366 7737 - HIPERMIX BRASIL SP S 29/11/2024 RG 379,31 0"
"Pago título: 2400001268 3981 - O.S. DISTRIBUIDORA D 31/10/2024 LQ 240,63 245,76"
"Pago título: 2400001823 4523 - ASSOCIACAO DOS PROPR 29/11/2024 LQ 223,97 223,97"
"Pago título: 2400002551 7784 - BRACELL SP CELULOSE 31/10/2024 LQ 2536,72 2590,83"
"Pago título: 2400004435 1564 - INDUSTRIA E COMERCIO 31/10/2024 LQ 435,1 444,37"
"Pago título: 2400004567 7717 - ASSOCIACAO DO CONJUN 31/10/2024 LQ 393,81 402,2"
"Pago título: 2400004740 1666 - VOTORANTIM CIMENTOS 29/11/2024 LQ 359,84 359,84"
"Pago título: 2400005028 1649 - CONDOMINIO CASA GRAN 29/11/2024 LQ 316,19 316,19"
"Pago título: 2400005196 3468 - VOTORANTIM CIMENTOS 29/11/2024 LQ 292,04 292,04"
"Pago título: 9000008319 7784 - BRACELL SP CELULOSE 31/10/2024 LQ 2613,32 2669,06"
